satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium
0.78,0.99,4,255.0,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.51,2,160.0,3.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.76,0.89,5,262.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.83,6,282.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.55,2,147.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.95,6,304.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.46,0.57,2,139.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.4,0.53,2,158.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.89,0.92,5,242.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.82,0.87,4,239.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.4,0.49,2,135.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.41,0.46,2,128.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.38,0.5,2,160.16353543979506,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.09,0.62,6,238.73947368421054,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.45,0.57,2,134.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.4,0.51,2,145.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.45,0.55,2,140.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.84,0.87,4,246.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.1,0.94,6,255.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.38,0.46,2,137.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.45,0.5,2,126.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.11,0.89,6,306.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.41,0.54,2,152.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.87,0.88,5,269.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.45,0.48,2,158.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4,0.46,2,127.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.1,0.8,7,281.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.09,0.89,6,276.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.84,0.74,3,182.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4,0.55,2,147.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.57,0.7,3,273.0,6.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.4,0.54,2,160.16353543979506,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.43,0.47,2,147.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.13,0.78,6,152.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.44,0.55,2,135.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.38,0.55,2,134.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.39,0.54,2,132.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1,0.92,7,307.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.37,0.46,2,140.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.11,0.94,7,276.015873015873,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1,0.81,6,309.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.38,0.54,2,128.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.85,1.0,4,225.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.85,0.91,5,226.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.11,0.93,7,308.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.1,0.95,6,244.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.36,0.56,2,132.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.11,0.94,6,286.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.81,0.7,6,161.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.43,0.54,2,153.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.9,0.98,4,264.0,6.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.76,0.86,5,223.0,5.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.43,0.5,2,135.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.74,0.99,2,277.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.09,0.77,5,275.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.45,0.49,2,149.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.09,0.87,7,295.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.11,0.97,6,277.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.11,0.79,7,276.015873015873,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.1,0.83,6,295.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.4,0.54,2,137.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.43,0.56,2,157.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.39,0.56,2,142.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.45,0.54,2,140.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.38,0.49,2,151.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.79,0.59,4,139.0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.84,0.85,4,249.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.11,0.77,6,238.73947368421054,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.11,0.87,6,305.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.17,0.84,5,232.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.44,0.45,2,132.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.57,2,130.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.1,0.79,6,291.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.4,0.5,2,130.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.89,1.0,5,246.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.48,2,143.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.46,0.55,2,129.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09,0.83,6,255.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.51,2,155.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.1,0.77,6,265.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.1,0.84,6,279.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.97,6,284.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
